Date,AAPL,DIA,F,GLD,GOOG,IWM,SPY,XOM
2004-11-19 00:00:00+00:00,0.8319592475891113,66.9660873413086,7.367390155792236,44.779998779296875,4.214389324188232,46.97371292114258,80.72562408447266,26.15150260925293
2004-11-22 00:00:00+00:00,0.9251534342765808,67.11338806152344,7.336151123046875,44.95000076293945,4.107412815093994,47.4718017578125,81.11058807373047,26.4266300201416
2004-11-23 00:00:00+00:00,0.9239462614059448,67.23511505126953,7.336151123046875,44.75,4.167618274688721,47.76680374145508,81.23439025878906,26.577163696289062
2004-11-24 00:00:00+00:00,0.9658687710762024,67.26071166992188,7.330947399139404,45.04999923706055,4.3477373123168945,48.05417251586914,81.42684936523438,26.72769546508789
2004-11-26 00:00:00+00:00,0.9734093546867371,67.1902847290039,7.419458866119385,45.290000915527344,4.462924003601074,48.08482360839844,81.36495971679688,26.810749053955078
2004-11-29 00:00:00+00:00,1.032069444656372,66.9020767211914,7.40904426574707,45.400001525878906,4.504222393035889,48.25723648071289,80.99372100830078,26.665407180786133
2004-11-30 00:00:00+00:00,1.011108160018921,66.8124771118164,7.383011341094971,45.119998931884766,4.527359485626221,48.61357116699219,81.04875183105469,26.603116989135742
2004-12-01 00:00:00+00:00,1.0222676992416382,67.67052459716797,7.362185955047607,45.380001068115234,4.477105617523193,49.06568145751953,81.9699478149414,26.551198959350586
2004-12-02 00:00:00+00:00,0.9833610653877258,67.7794418334961,7.40904426574707,44.95000076293945,4.4631733894348145,48.996707916259766,82.0386962890625,26.042505264282227
2004-12-03 00:00:00+00:00,0.9452092051506042,67.68338775634766,7.450697898864746,45.599998474121094,4.488051414489746,48.904762268066406,81.98370361328125,26.094411849975586
2004-12-06 00:00:00+00:00,0.9919565916061401,67.46561431884766,7.429871559143066,45.16999816894531,4.385800838470459,48.674869537353516,81.95622253417969,26.026935577392578
2004-12-07 00:00:00+00:00,0.9483761787414551,66.86369323730469,7.40904426574707,45.11000061035156,4.264892578125,47.82046127319336,81.1930923461914,25.798532485961914
2004-12-08 00:00:00+00:00,0.954257071018219,67.24786376953125,7.398632526397705,44.0099983215332,4.228818893432617,48.35301971435547,81.66749572753906,25.964649200439453
2004-12-09 00:00:00+00:00,0.9649643301963806,67.4848403930664,7.414251327514648,43.779998779296875,4.3146491050720215,47.9852180480957,81.95622253417969,26.12036895751953
2004-12-10 00:00:00+00:00,0.9824568629264832,67.56167602539062,7.403838634490967,43.439998626708984,4.2703657150268555,48.35301971435547,82.0386962890625,26.032115936279297
2004-12-13 00:00:00+00:00,0.9788371920585632,68.17002868652344,7.40904426574707,43.90999984741211,4.240511417388916,48.881778717041016,82.75369262695312,26.302051544189453
2004-12-14 00:00:00+00:00,0.9845675230026245,68.36859893798828,7.455904960632324,43.54999923706055,4.445509433746338,49.1461296081543,83.0424575805664,26.296857833862305
2004-12-15 00:00:00+00:00,0.9841153025627136,68.42618560791016,7.440284252166748,43.9900016784668,4.472626209259033,49.55609893798828,83.1043472290039,26.2189884185791
2004-12-16 00:00:00+00:00,1.0043230056762695,68.62472534179688,7.403838634490967,43.68000030517578,4.390279293060303,49.16911315917969,83.05623626708984,26.006160736083984
2004-12-17 00:00:00+00:00,0.9800439476966858,68.32646179199219,7.466317653656006,44.189998626708984,4.4800896644592285,48.96989440917969,82.50223541259766,25.850427627563477
2004-12-20 00:00:00+00:00,0.9458122253417969,68.38424682617188,7.632932186126709,44.34000015258789,4.6029887199401855,48.91242218017578,82.5229721069336,26.504491806030273
2004-12-21 00:00:00+00:00,0.9604392051696777,68.89730834960938,7.658963680267334,44.220001220703125,4.571393966674805,49.42965316772461,83.158447265625,26.831510543823242
2004-12-22 00:00:00+00:00,0.9613447785377502,69.2757339477539,7.721441745758057,44.02000045776367,4.634833812713623,49.52543640136719,83.3587646484375,26.623878479003906
2004-12-23 00:00:00+00:00,0.9652656316757202,69.3655776977539,7.705824375152588,44.27000045776367,4.674638271331787,49.65266799926758,83.42092895507812,26.976848602294922
2004-12-27 00:00:00+00:00,0.9524474143981934,69.11539459228516,7.67458438873291,44.47999954223633,4.77440071105957,49.33366394042969,83.24825286865234,26.411054611206055
2004-12-28 00:00:00+00:00,0.9678287506103516,69.52588653564453,7.747475624084473,44.369998931884766,4.795547962188721,49.987098693847656,83.7041244506836,26.49928855895996
2004-12-29 00:00:00+00:00,0.9717494249343872,69.42327117919922,7.67458438873291,43.65999984741211,4.799030780792236,49.98321533203125,83.8284683227539,26.540822982788086
2004-12-30 00:00:00+00:00,0.9771783947944641,69.17310333251953,7.705824375152588,43.83000183105469,4.915958881378174,49.80641555786133,83.66963958740234,26.48891830444336
2004-12-31 00:00:00+00:00,0.9711465835571289,68.95504760742188,7.622518062591553,43.79999923706055,4.796294212341309,49.775672912597656,83.48999786376953,26.608306884765625
2005-01-03 00:00:00+00:00,0.9544079899787903,68.8332290649414,7.658963680267334,43.02000045776367,5.043087482452393,49.12993621826172,83.09628295898438,26.000972747802734
2005-01-04 00:00:00+00:00,0.9642099142074585,68.17896270751953,7.632932186126709,42.7400016784668,4.838835716247559,48.07676315307617,82.08088684082031,25.82448387145996
2005-01-05 00:00:00+00:00,0.9726551175117493,67.80059814453125,7.513179302215576,42.66999816894531,4.814206600189209,47.1158447265625,81.51446533203125,25.689523696899414
2005-01-06 00:00:00+00:00,0.9734093546867371,68.01225280761719,7.5235915184021,42.150001525878906,4.690810203552246,47.3657112121582,81.92894744873047,26.016544342041016
